,car_model,year_of_manufacture,price,fuel
0,ritz,2014,5000.0,Petrol
1,sx4,2013,7089.552,Diesel
2,ciaz,2017,10820.896,Petrol
3,wagon r,2011,4253.731,Petrol
4,swift,2014,6865.672,Diesel
5,vitara brezza,2018,13805.97,Diesel
6,ciaz,2015,10074.627,Petrol
7,s cross,2015,9701.493,Diesel
8,ciaz,2016,13059.701,Diesel
9,ciaz,2015,11119.403,Diesel
10,alto 800,2017,4253.731,Petrol
11,ciaz,2015,10223.881,Diesel
12,ciaz,2015,11194.03,Petrol
13,ertiga,2015,9104.478,Petrol
14,dzire,2009,3358.209,Petrol
15,ertiga,2016,11567.164,Diesel
16,ertiga,2015,10820.896,Diesel
17,ertiga,2016,11567.164,Diesel
18,wagon r,2015,4850.746,CNG
19,sx4,2010,3955.224,Petrol
20,alto k10,2016,4253.731,Petrol
21,ignis,2017,7313.433,Petrol
22,sx4,2011,6567.164,Petrol
23,alto k10,2014,3731.343,Petrol
24,wagon r,2013,4328.358,Petrol
25,swift,2011,4477.612,Petrol
26,swift,2013,6194.03,Petrol
27,swift,2017,8955.224,Petrol
28,alto k10,2010,2910.448,Petrol
29,ciaz,2015,11119.403,Diesel
30,ritz,2012,4626.866,Diesel
31,ritz,2011,3507.463,Petrol
32,swift,2014,7388.06,Diesel
33,ertiga,2014,8955.224,Diesel
34,dzire,2014,8208.955,Diesel
35,sx4,2011,4402.985,CNG
36,dzire,2015,6940.299,Petrol
37,800,2003,522.388,Petrol
38,alto k10,2016,4477.612,Petrol
39,sx4,2003,3358.209,Petrol
40,fortuner,2012,22238.806,Diesel
41,fortuner,2015,34328.358,Diesel
42,innova,2017,26865.672,Diesel
43,fortuner,2013,23880.597,Diesel
44,innova,2005,4104.478,Petrol
45,corolla altis,2009,5373.134,Petrol
46,etios cross,2015,6716.418,Petrol
47,corolla altis,2010,7089.552,Petrol
48,etios g,2014,6119.403,Petrol
49,fortuner,2014,29835.821,Diesel
50,baleno,2016,8731.343,Petrol
51,alto k10,2014,3805.97,Petrol
52,sx4,2008,2910.448,Petrol
53,dzire,2014,8208.955,Diesel
54,omni,2012,1865.672,Petrol
55,ciaz,2014,11194.03,Petrol
56,ritz,2013,3955.224,Petrol
57,wagon r,2006,1567.164,Petrol
58,ertiga,2015,8656.716,Petrol
59,ciaz,2017,11567.164,Petrol
60,corolla altis,2016,21985.075,Diesel
61,etios gd,2015,7089.552,Diesel
62,innova,2017,34328.358,Diesel
63,innova,2015,18656.716,Diesel
64,innova,2005,5208.955,Diesel
65,camry,2006,3731.343,Petrol
66,land cruiser,2010,52238.806,Diesel
67,corolla altis,2012,8805.97,Petrol
68,etios liva,2013,5149.254,Petrol
69,etios g,2014,7089.552,Petrol
70,etios liva,2014,5895.522,Diesel
71,corolla altis,2011,6716.418,Diesel
72,corolla altis,2013,11119.403,Petrol
73,etios liva,2011,3955.224,Petrol
74,etios cross,2014,7313.433,Diesel
75,etios g,2015,5895.522,Petrol
76,corolla altis,2013,8208.955,Petrol
77,corolla,2004,2238.806,Petrol
78,corolla altis,2010,7835.821,Petrol
79,fortuner,2012,21641.791,Diesel
80,corolla altis,2013,10373.134,Petrol
81,etios cross,2015,6716.418,Petrol
82,fortuner,2014,27985.075,Diesel
83,fortuner,2015,35074.627,Diesel
84,fortuner,2017,49253.731,Diesel
85,etios liva,2014,7089.552,Diesel
86,innova,2017,29477.612,Petrol
87,fortuner,2010,13805.97,Diesel
88,corolla altis,2011,6492.537,Petrol
89,corolla altis,2016,21268.657,Petrol
